SKU,cates,img_url,name,price,tag
 WM2482 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2024/04/Anime-Naruto-Shippuden-Shizune-WM2482-Minifigures-600x600.jpg,Anime Naruto Shippuden Shizune WM2482 Minifigures,1.2,Shizune
 WM2481 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2024/04/Anime-Naruto-Shippuden-Teuchi-WM2481-Minifigures-600x600.jpg,Anime Naruto Shippuden Teuchi WM2481 Minifigures,1.3,Teuchi
 WM2480 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2024/04/Anime-Naruto-Shippuden-Sarutobi-Konohamaru-WM2480-Minifigures-600x600.jpg,Anime Naruto Shippuden Sarutobi Konohamaru WM2480 Minifigures,1.2,Sarutobi Konohamaru
 WM2478 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2024/04/Anime-Naruto-Shippuden-Tenten-WM2478-Minifigures-600x600.jpg,Anime Naruto Shippuden Tenten WM2478 Minifigures,1.2,Tenten
 K2083 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/12/Anime-Naruto-Shippuden-Fu-Yamanaka-K2083-Minifigures-600x600.jpg,Anime Naruto Shippuden Fu Yamanaka K2083 Minifigures,0.9,Fu Yamanaka
 WM2477 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2024/04/Anime-Naruto-Shippuden-Sai-WM2477-Minifigures-600x600.jpg,Anime Naruto Shippuden Sai WM2477 Minifigures,1.2,Sai
 K2082 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/12/Anime-Naruto-Shippuden-Hiruzen-Sarutobi-K2082-Minifigures-600x600.jpg,Anime Naruto Shippuden Hiruzen Sarutobi K2082 Minifigures,1.0,Hiruzen Sarutobi
 WM2479 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2024/04/Anime-Naruto-Shippuden-Hyuga-Neji-WM2479-Minifigures-600x600.jpg,Anime Naruto Shippuden Hyuga Neji WM2479 Minifigures,1.2,Hyuga Neji
 K2084 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/12/Anime-Naruto-Shippuden-Torune-Aburame-K2084-Minifigures-600x600.jpg,Anime Naruto Shippuden Torune Aburame K2084 Minifigures,0.9,Torune Aburame
 WM2467 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2024/03/Anime-Naruto-Shippuden-Ootutuki-Momoshiki-WM2467-Minifigures-600x600.png,Anime Naruto Shippuden Ootutuki Momoshiki WM2467 Minifigures,1.4,Ootutuki Momoshiki
